Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
S03-Message,Chrome 111.0.0.0,,,2023-03-15 14:20:55,2023-03-15 14:21:16,20.969s,PASSED
,,,,,,,
Test Cases/S03-Message/MSG01-Sending message to owner without login,Chrome 111.0.0.0,,,2023-03-15 14:20:56,2023-03-15 14:21:16,20.052s,PASSED
"openBrowser("""")",Chrome 111.0.0.0,,,2023-03-15 14:20:57,2023-03-15 14:21:04,7.829s,PASSED
"navigateToUrl(""https://www.demoblaze.com/"")",Chrome 111.0.0.0,,,2023-03-15 14:21:04,2023-03-15 14:21:07,2.515s,PASSED
"click(findTestObject(""Object Repository/S03-Message/MSG01-Sending message without login/Page_STORE/a_Contact""))",Chrome 111.0.0.0,,,2023-03-15 14:21:07,2023-03-15 14:21:11,3.558s,PASSED
"setText(findTestObject(""Object Repository/S03-Message/MSG01-Sending message without login/Page_STORE/input_Contact Email_recipient-email""), ""msg01@gmail.com"")",Chrome 111.0.0.0,,,2023-03-15 14:21:11,2023-03-15 14:21:12,1.549s,PASSED
"setText(findTestObject(""Object Repository/S03-Message/MSG01-Sending message without login/Page_STORE/input_Contact Name_recipient-name""), ""msg01"")",Chrome 111.0.0.0,,,2023-03-15 14:21:12,2023-03-15 14:21:14,1.550s,PASSED
"setText(findTestObject(""Object Repository/S03-Message/MSG01-Sending message without login/Page_STORE/textarea_Message_message-text""), ""test msg without login"")",Chrome 111.0.0.0,,,2023-03-15 14:21:14,2023-03-15 14:21:15,1.264s,PASSED
"click(findTestObject(""Object Repository/S03-Message/MSG01-Sending message without login/Page_STORE/button_Send message""))",Chrome 111.0.0.0,,,2023-03-15 14:21:15,2023-03-15 14:21:16,0.794s,PASSED
